Latitude :   29.17
Longitude:  -18.50
Date: 12/11/2020
Time; 12:57:48
PrDM;        Sal00;        T090C
1240.00;      35.4689;       7.4689
1242.00;      35.4659;       7.4512
1244.00;      35.4661;       7.4461
1246.00;      35.4647;       7.4325
1248.00;      35.4628;       7.4158
1250.00;      35.4591;       7.3932
1252.00;      35.4581;       7.3819
1254.00;      35.4553;       7.3564
1256.00;      35.4553;       7.3479
1258.00;      35.4553;       7.3292
1260.00;      35.4561;       7.3258
1262.00;      35.4539;       7.3140
1264.00;      35.4505;       7.2704
1266.00;      35.4503;       7.2614
1268.00;      35.4503;       7.2585
1270.00;      35.4502;       7.2549
1272.00;      35.4496;       7.2488
1274.00;      35.4494;       7.2434
1276.00;      35.4493;       7.2410
1278.00;      35.4489;       7.2382
1280.00;      35.4485;       7.2329
1282.00;      35.4480;       7.2281
1284.00;      35.4480;       7.2258
1286.00;      35.4478;       7.2242
1288.00;      35.4477;       7.2209
1290.00;      35.4476;       7.2196
1292.00;      35.4474;       7.2187
1294.00;      35.4473;       7.2174
1296.00;      35.4472;       7.2157
1298.00;      35.4468;       7.2124
1300.00;      35.4461;       7.2064
1302.00;      35.4458;       7.2021
1304.00;      35.4448;       7.1955
1306.00;      35.4438;       7.1864
1308.00;      35.4429;       7.1741
1310.00;      35.4414;       7.1597
1312.00;      35.4395;       7.1452
1314.00;      35.4394;       7.1374
1316.00;      35.4387;       7.1339
1318.00;      35.4362;       7.1216
1320.00;      35.4334;       7.1017
1322.00;      35.4328;       7.0927
1324.00;      35.4323;       7.0899
1326.00;      35.4309;       7.0813
1328.00;      35.4296;       7.0699
1330.00;      35.4269;       7.0495
1332.00;      35.4260;       7.0383
1334.00;      35.4252;       7.0322
1336.00;      35.4248;       7.0153
1338.00;      35.4140;       6.9596
1340.00;      35.4085;       6.9003
1342.00;      35.4059;       6.8757
1344.00;      35.4050;       6.8657
1346.00;      35.4046;       6.8592
1348.00;      35.4042;       6.8559
1350.00;      35.4033;       6.8473
1352.00;      35.4033;       6.8452
1354.00;      35.4033;       6.8415
1356.00;      35.4033;       6.8401
1358.00;      35.4031;       6.8390
1360.00;      35.4031;       6.8368
1362.00;      35.4032;       6.8336
1364.00;      35.4017;       6.8246
1366.00;      35.4016;       6.8240
1368.00;      35.4015;       6.8234
1370.00;      35.4011;       6.8225
1372.00;      35.3997;       6.8130
1374.00;      35.3987;       6.8073
1376.00;      35.3950;       6.7840
1378.00;      35.3868;       6.7441
1380.00;      35.3844;       6.6963
1382.00;      35.3841;       6.6881
1384.00;      35.3843;       6.6853
1386.00;      35.3833;       6.6747
1388.00;      35.3833;       6.6686
1390.00;      35.3836;       6.6568
1392.00;      35.3838;       6.6570
1394.00;      35.3841;       6.6558
1396.00;      35.3847;       6.6562
1398.00;      35.3847;       6.6563
1400.00;      35.3825;       6.6446
1402.00;      35.3819;       6.6381
1404.00;      35.3816;       6.6361
1406.00;      35.3816;       6.6359
1408.00;      35.3813;       6.6341
1410.00;      35.3810;       6.6318
1412.00;      35.3807;       6.6296
1414.00;      35.3801;       6.6237
1416.00;      35.3795;       6.6188
1418.00;      35.3774;       6.6024
1420.00;      35.3766;       6.5957
1422.00;      35.3753;       6.5883
1424.00;      35.3731;       6.5782
1426.00;      35.3755;       6.5744
1428.00;      35.3696;       6.5413
1430.00;      35.3661;       6.5011
1432.00;      35.3651;       6.4936
1434.00;      35.3607;       6.4635
1436.00;      35.3571;       6.4363
1438.00;      35.3556;       6.4279
1440.00;      35.3509;       6.4030
1442.00;      35.3460;       6.3650
1444.00;      35.3460;       6.3654
1446.00;      35.3516;       6.3810
1448.00;      35.3550;       6.3975
1450.00;      35.3536;       6.3879
1452.00;      35.3518;       6.3678
1454.00;      35.3512;       6.3624
1456.00;      35.3510;       6.3594
1458.00;      35.3509;       6.3578
1460.00;      35.3454;       6.3397
1462.00;      35.3394;       6.2817
1464.00;      35.3385;       6.2609
1466.00;      35.3398;       6.2616
1468.00;      35.3408;       6.2604
1470.00;      35.3419;       6.2607
1472.00;      35.3421;       6.2608
1474.00;      35.3415;       6.2571
1476.00;      35.3408;       6.2519
1478.00;      35.3400;       6.2458
1480.00;      35.3403;       6.2436
1482.00;      35.3405;       6.2433
1484.00;      35.3398;       6.2393
1486.00;      35.3373;       6.2262
1488.00;      35.3352;       6.1972
1490.00;      35.3349;       6.1890
1492.00;      35.3346;       6.1863
1494.00;      35.3324;       6.1740
1496.00;      35.3309;       6.1587
1498.00;      35.3300;       6.1526
1500.00;      35.3289;       6.1386
1502.00;      35.3280;       6.1311
1504.00;      35.3259;       6.1127
1506.00;      35.3246;       6.0939
1508.00;      35.3237;       6.0793
1510.00;      35.3231;       6.0732
1512.00;      35.3218;       6.0665
1514.00;      35.3208;       6.0563
1516.00;      35.3201;       6.0500
1518.00;      35.3197;       6.0470
1520.00;      35.3185;       6.0328
1522.00;      35.3185;       6.0332
1524.00;      35.3183;       6.0319
1526.00;      35.3175;       6.0213
1528.00;      35.3177;       6.0206
1530.00;      35.3178;       6.0131
1532.00;      35.3186;       6.0103
1534.00;      35.3178;       5.9989
1536.00;      35.3182;       5.9975
1538.00;      35.3183;       5.9949
1540.00;      35.3180;       5.9879
1542.00;      35.3175;       5.9712
1544.00;      35.3175;       5.9657
1546.00;      35.3173;       5.9613
1548.00;      35.3170;       5.9572
1550.00;      35.3173;       5.9555
1552.00;      35.3178;       5.9548
1554.00;      35.3180;       5.9549
1556.00;      35.3188;       5.9574
1558.00;      35.3187;       5.9573
1560.00;      35.3190;       5.9582
1562.00;      35.3189;       5.9584
1564.00;      35.3188;       5.9581
1566.00;      35.3180;       5.9535
1568.00;      35.3171;       5.9387
1570.00;      35.3160;       5.9298
1572.00;      35.3155;       5.9229
1574.00;      35.3149;       5.9182
1576.00;      35.3143;       5.9067
1578.00;      35.3144;       5.9033
1580.00;      35.3143;       5.8958
1582.00;      35.3121;       5.8815
1584.00;      35.3117;       5.8571
1586.00;      35.3109;       5.8480
1588.00;      35.3111;       5.8419
1590.00;      35.3112;       5.8424
1592.00;      35.3112;       5.8418
1594.00;      35.3108;       5.8383
1596.00;      35.3104;       5.8352
1598.00;      35.3102;       5.8342
1600.00;      35.3092;       5.8274
1602.00;      35.3085;       5.8221
1604.00;      35.3085;       5.8203
1606.00;      35.3080;       5.8172
1608.00;      35.3072;       5.8086
1610.00;      35.3069;       5.8058
1612.00;      35.3062;       5.8027
